municipio_x,nome_mesorregiao,magreza_acentuada_pct,obesidade_pct,ano,nome_uf,codigo_municipio_seis_digitos
BRASILIA,Distrito Federal,1.65,3.59,2021,Distrito Federal,530010
ABADIA DE GOIAS,Centro Goiano,2.45,1.63,2021,Goiás,520005
ABADIANIA,Leste Goiano,3.74,12.3,2021,Goiás,520010
ACREUNA,Sul Goiano,2.69,8.07,2021,Goiás,520013
ADELANDIA,Centro Goiano,2.13,10.64,2021,Goiás,520015
AGUA FRIA DE GOIAS,Leste Goiano,10.4,8.67,2021,Goiás,520017
AGUA LIMPA,Sul Goiano,2.63,7.89,2021,Goiás,520020
AGUAS LINDAS DE GOIAS,Leste Goiano,2.11,4.44,2021,Goiás,520025
ALEXANIA,Leste Goiano,1.5,4.13,2021,Goiás,520030
ALOANDIA,Sul Goiano,18.52,3.7,2021,Goiás,520050
ALTO HORIZONTE,Norte Goiano,4.07,3.49,2021,Goiás,520055
ALTO PARAISO DE GOIAS,Norte Goiano,7.53,2.09,2021,Goiás,520060
ALVORADA DO NORTE,Leste Goiano,5.83,5.83,2021,Goiás,520080
AMARALINA,Norte Goiano,3.39,5.08,2021,Goiás,520082
AMERICANO DO BRASIL,Centro Goiano,0.0,4.76,2021,Goiás,520085
AMORINOPOLIS,Centro Goiano,2.94,10.78,2021,Goiás,520090
ANAPOLIS,Centro Goiano,4.43,9.58,2021,Goiás,520110
ANHANGUERA,Sul Goiano,2.7,8.11,2021,Goiás,520120
ANICUNS,Centro Goiano,2.16,7.3,2021,Goiás,520130
APARECIDA DE GOIANIA,Centro Goiano,5.28,8.96,2021,Goiás,520140
APARECIDA DO RIO DOCE,Sul Goiano,2.7,6.31,2021,Goiás,520145
APORE,Sul Goiano,5.16,1.94,2021,Goiás,520150
ARACU,Centro Goiano,0.0,8.0,2021,Goiás,520160
ARAGARCAS,Noroeste Goiano,3.52,5.08,2021,Goiás,520170
ARAGOIANIA,Centro Goiano,4.04,12.46,2021,Goiás,520180
ARAGUAPAZ,Noroeste Goiano,3.23,7.53,2021,Goiás,520215
ARENOPOLIS,Noroeste Goiano,4.08,13.27,2021,Goiás,520235
ARUANA,Noroeste Goiano,0.0,0.0,2021,Goiás,520250
AURILANDIA,Centro Goiano,5.41,0.0,2021,Goiás,520260
AVELINOPOLIS,Centro Goiano,2.13,8.51,2021,Goiás,520280
BALIZA,Noroeste Goiano,7.94,26.98,2021,Goiás,520310
BARRO ALTO,Centro Goiano,4.12,5.29,2021,Goiás,520320
BELA VISTA DE GOIAS,Centro Goiano,6.36,15.68,2021,Goiás,520330
BOM JARDIM DE GOIAS,Noroeste Goiano,4.67,10.67,2021,Goiás,520340
BOM JESUS DE GOIAS,Sul Goiano,4.08,4.08,2021,Goiás,520350
BONFINOPOLIS,Centro Goiano,4.19,4.19,2021,Goiás,520355
BONOPOLIS,Norte Goiano,1.01,5.05,2021,Goiás,520357
BRAZABRANTES,Centro Goiano,10.91,1.21,2021,Goiás,520360
BRITANIA,Noroeste Goiano,7.29,4.17,2021,Goiás,520380
BURITI ALEGRE,Sul Goiano,4.72,7.55,2021,Goiás,520390
BURITI DE GOIAS,Centro Goiano,0.0,3.51,2021,Goiás,520393
BURITINOPOLIS,Leste Goiano,1.12,6.74,2021,Goiás,520396
CABECEIRAS,Leste Goiano,5.61,6.93,2021,Goiás,520400
CACHOEIRA ALTA,Sul Goiano,1.59,2.92,2021,Goiás,520410
CACHOEIRA DE GOIAS,Centro Goiano,2.63,10.53,2021,Goiás,520420
CACHOEIRA DOURADA,Sul Goiano,4.62,6.15,2021,Goiás,520425
CACU,Sul Goiano,1.77,1.33,2021,Goiás,520430
CAIAPONIA,Sul Goiano,2.14,0.85,2021,Goiás,520440
CALDAS NOVAS,Sul Goiano,1.29,3.86,2021,Goiás,520450
CALDAZINHA,Centro Goiano,0.87,5.22,2021,Goiás,520455
CAMPESTRE DE GOIAS,Sul Goiano,3.36,8.4,2021,Goiás,520460
CAMPINACU,Norte Goiano,3.06,10.2,2021,Goiás,520465
CAMPINORTE,Norte Goiano,1.85,8.15,2021,Goiás,520470
CAMPO ALEGRE DE GOIAS,Sul Goiano,0.0,6.34,2021,Goiás,520480
CAMPO LIMPO DE GOIAS,Centro Goiano,1.49,0.75,2021,Goiás,520485
CAMPOS BELOS,Norte Goiano,3.64,12.87,2021,Goiás,520490
CAMPOS VERDES,Norte Goiano,0.0,5.66,2021,Goiás,520495
CARMO DO RIO VERDE,Centro Goiano,8.06,12.9,2021,Goiás,520500
CASTELANDIA,Sul Goiano,0.0,6.82,2021,Goiás,520505
