municipio_x,nome_mesorregiao,magreza_acentuada_pct,obesidade_pct,obesidade_grave_pct,ano,nome_uf,codigo_municipio_seis_digitos
BRASILIA,Distrito Federal,2.44,9.71,7.49,2021,Distrito Federal,530010
ABADIA DE GOIAS,Centro Goiano,2.2,1.32,2.2,2021,Goiás,520005
ABADIANIA,Leste Goiano,1.9,17.62,5.71,2021,Goiás,520010
ACREUNA,Sul Goiano,1.1,9.34,8.79,2021,Goiás,520013
ADELANDIA,Centro Goiano,2.5,5.0,7.5,2021,Goiás,520015
AGUA FRIA DE GOIAS,Leste Goiano,2.27,13.64,7.95,2021,Goiás,520017
AGUA LIMPA,Sul Goiano,0.0,12.82,5.13,2021,Goiás,520020
AGUAS LINDAS DE GOIAS,Leste Goiano,2.57,5.73,6.59,2021,Goiás,520025
ALEXANIA,Leste Goiano,3.49,10.93,8.84,2021,Goiás,520030
ALOANDIA,Sul Goiano,4.65,4.65,0.0,2021,Goiás,520050
ALTO HORIZONTE,Norte Goiano,4.9,12.75,7.84,2021,Goiás,520055
ALTO PARAISO DE GOIAS,Norte Goiano,2.88,9.35,2.88,2021,Goiás,520060
ALVORADA DO NORTE,Leste Goiano,4.72,8.66,5.12,2021,Goiás,520080
AMARALINA,Norte Goiano,1.79,10.71,3.57,2021,Goiás,520082
AMERICANO DO BRASIL,Centro Goiano,5.56,7.41,3.7,2021,Goiás,520085
AMORINOPOLIS,Centro Goiano,4.44,10.0,11.11,2021,Goiás,520090
ANAPOLIS,Centro Goiano,2.72,12.37,8.39,2021,Goiás,520110
ANHANGUERA,Sul Goiano,0.0,22.22,3.7,2021,Goiás,520120
ANICUNS,Centro Goiano,3.16,12.01,9.95,2021,Goiás,520130
APARECIDA DE GOIANIA,Centro Goiano,2.32,3.51,2.39,2021,Goiás,520140
APARECIDA DO RIO DOCE,Sul Goiano,0.0,9.73,7.96,2021,Goiás,520145
APORE,Sul Goiano,0.0,8.33,9.17,2021,Goiás,520150
ARACU,Centro Goiano,0.88,14.16,11.5,2021,Goiás,520160
ARAGARCAS,Noroeste Goiano,1.85,5.56,4.32,2021,Goiás,520170
ARAGOIANIA,Centro Goiano,3.69,12.53,9.58,2021,Goiás,520180
ARAGUAPAZ,Noroeste Goiano,3.67,12.84,11.93,2021,Goiás,520215
ARENOPOLIS,Noroeste Goiano,4.23,5.63,1.41,2021,Goiás,520235
ARUANA,Noroeste Goiano,0.0,0.0,0.0,2021,Goiás,520250
AURILANDIA,Centro Goiano,4.0,16.0,0.0,2021,Goiás,520260
AVELINOPOLIS,Centro Goiano,1.33,13.33,10.0,2021,Goiás,520280
BALIZA,Noroeste Goiano,8.86,21.52,12.66,2021,Goiás,520310
BARRO ALTO,Centro Goiano,2.21,6.63,4.42,2021,Goiás,520320
BELA VISTA DE GOIAS,Centro Goiano,2.35,14.71,11.76,2021,Goiás,520330
BOM JARDIM DE GOIAS,Noroeste Goiano,0.0,12.64,9.2,2021,Goiás,520340
BOM JESUS DE GOIAS,Sul Goiano,3.85,11.54,11.54,2021,Goiás,520350
BONFINOPOLIS,Centro Goiano,2.11,11.27,7.75,2021,Goiás,520355
BONOPOLIS,Norte Goiano,3.16,12.63,5.26,2021,Goiás,520357
BRAZABRANTES,Centro Goiano,0.75,15.79,4.51,2021,Goiás,520360
BRITANIA,Noroeste Goiano,5.26,7.02,8.77,2021,Goiás,520380
BURITI ALEGRE,Sul Goiano,1.85,9.26,5.56,2021,Goiás,520390
BURITI DE GOIAS,Centro Goiano,2.5,17.5,2.5,2021,Goiás,520393
BURITINOPOLIS,Leste Goiano,3.25,7.32,5.69,2021,Goiás,520396
CABECEIRAS,Leste Goiano,3.35,10.78,5.58,2021,Goiás,520400
CACHOEIRA ALTA,Sul Goiano,2.64,10.56,6.6,2021,Goiás,520410
CACHOEIRA DE GOIAS,Centro Goiano,0.0,6.25,15.63,2021,Goiás,520420
CACHOEIRA DOURADA,Sul Goiano,5.66,10.38,11.32,2021,Goiás,520425
CACU,Sul Goiano,0.81,13.01,7.32,2021,Goiás,520430
CAIAPONIA,Sul Goiano,1.54,9.23,12.31,2021,Goiás,520440
CALDAS NOVAS,Sul Goiano,0.4,17.39,6.32,2021,Goiás,520450
CALDAZINHA,Centro Goiano,0.88,11.4,2.63,2021,Goiás,520455
CAMPESTRE DE GOIAS,Sul Goiano,2.8,9.79,9.79,2021,Goiás,520460
CAMPINACU,Norte Goiano,2.27,11.36,7.95,2021,Goiás,520465
CAMPINORTE,Norte Goiano,2.15,10.3,5.15,2021,Goiás,520470
CAMPO ALEGRE DE GOIAS,Sul Goiano,0.0,12.2,8.94,2021,Goiás,520480
CAMPO LIMPO DE GOIAS,Centro Goiano,3.4,2.91,4.85,2021,Goiás,520485
CAMPOS BELOS,Norte Goiano,2.57,9.9,5.91,2021,Goiás,520490
CAMPOS VERDES,Norte Goiano,3.7,7.41,0.0,2021,Goiás,520495
CARMO DO RIO VERDE,Centro Goiano,10.53,5.26,31.58,2021,Goiás,520500
CASTELANDIA,Sul Goiano,0.0,8.7,2.17,2021,Goiás,520505
CATALAO,Sul Goiano,0.96,9.62,10.1,2021,Goiás,520510
CATURAI,Centro Goiano,2.13,9.04,4.79,2021,Goiás,520520
CAVALCANTE,Norte Goiano,0.91,0.91,1.36,2021,Goiás,520530
CERES,Centro Goiano,2.22,10.67,12.89,2021,Goiás,520540
CEZARINA,Sul Goiano,1.2,12.05,13.25,2021,Goiás,520545
CHAPADAO DO CEU,Sul Goiano,0.53,12.74,6.19,2021,Goiás,520547
CIDADE OCIDENTAL,Leste Goiano,2.12,8.91,5.62,2021,Goiás,520549
COCALZINHO DE GOIAS,Leste Goiano,3.67,3.27,6.94,2021,Goiás,520551
COLINAS DO SUL,Norte Goiano,3.85,6.41,12.82,2021,Goiás,520552
CORREGO DO OURO,Centro Goiano,0.0,7.89,15.79,2021,Goiás,520570
CORUMBA DE GOIAS,Leste Goiano,3.85,11.54,11.54,2021,Goiás,520580
